Frecuencia_Hz;Potencia_dB_Relativa;SNR_Estimado_dB
1920000000;-76.2016201595507;-5.7716921462979
1920100000;-76.313162460311;-5.87319201522412
1920200000;-75.9747234534854;-4.91630569369637
1920300000;-69.0987471986055;-40
1920400000;-73.9846154875588;-40
1920500000;-68.2245011512316;-40
1920600000;-68.7422913544638;-40
1920700000;-68.709094027172;-40
1920800000;-68.2762169624646;-40
1920900000;-65.7811427407365;-40
1921000000;-69.2056977773938;-40
1921100000;-67.8439966654037;-40
1921200000;-66.1920968530936;-40
1921300000;-68.0849352055334;-40
1921400000;-67.3261477424598;-40
1921500000;-68.8273392732207;-40
1921600000;-68.5694055217404;-40
1921700000;-68.9731262497697;-40
1921800000;-67.4363329284637;-40
1921900000;-68.2389604276503;-40
1922000000;-68.5915404868389;-40
1922100000;-68.2367950449233;-40
1922200000;-68.0132287324141;-40
1922300000;-67.9521609700815;-40
1922400000;-78.0347881025915;-40
1922500000;-65.8963364196098;-40
1922600000;-68.7002338252553;-40
1922700000;-69.1688352285853;-40
1922800000;-68.4529579673294;-40
1922900000;-67.9385751237592;-40
1923000000;-68.2264634738826;-40
1923100000;-67.8862245819626;-40
1923200000;-68.721943713881;-40
1923300000;-68.9613237888619;-40
1923400000;-68.5234885341637;-40
1923500000;-69.408613730461;-40
1923600000;-68.7369057016355;-40
1923700000;-68.7032658051342;-40
1923800000;-68.0635876187442;-40
1923900000;-68.0146164344709;-40
1924000000;-69.0549933008295;-40
1924100000;-68.5491077071637;-40
1924200000;-68.9868530291909;-40
1924300000;-68.4691366204733;-40
1924400000;-67.8050220750773;-40
1924500000;-68.7371124346984;-40
1924600000;-68.8719086448694;-40
1924700000;-68.5120461844828;-40
1924800000;-68.5256751352975;-40
1924900000;-68.7888528807631;-40
1925000000;-68.5376894254837;-40
1925100000;-68.4694004123693;-40
1925200000;-69.1339086951709;-40
1925300000;-68.3376921826069;-40
1925400000;-68.4458128390355;-40
1925500000;-67.9221664330242;-40
1925600000;-69.1622752508692;-40
1925700000;-69.1567497456195;-40
1925800000;-68.5606198930942;-40
1925900000;-67.6295434340361;-40
1926000000;-68.3273397808871;-40
1926100000;-67.373953512143;-40
1926200000;-67.7943239448642;-40
1926300000;-68.5254289997999;-40
1926400000;-68.533657482708;-40
1926500000;-68.3472187978363;-40
1926600000;-68.2645792451897;-40
1926700000;-68.2897705535977;-40
1926800000;-68.0557985895818;-40
1926900000;-68.6011975074943;-40
1927000000;-68.1218813464857;-40
1927100000;-68.1531247169299;-40
1927200000;-68.3922820954107;-40
1927300000;-68.4812110901494;-40
1927400000;-68.2289718122563;-40
1927500000;-68.0568779859167;-40
1927600000;-68.6873897221955;-40
1927700000;-68.7745228555107;-40
1927800000;-67.9750476030638;-40
1927900000;-67.8186320967633;-40
1928000000;-68.6415871868594;-40
1928100000;-68.9221455296618;-40
1928200000;-67.5746061023559;-40
1928300000;-68.6013692550563;-40
1928400000;-68.9422168069521;-40
1928500000;-67.9012428935924;-40
1928600000;-68.3086282679561;-40
1928700000;-69.2607644361556;-40
1928800000;-69.3342166735632;-40
1928900000;-67.9689001163435;-40
1929000000;-68.5233971567971;-40
1929100000;-68.0032278977302;-40
1929200000;-68.2555822413446;-40
1929300000;-69.2307483407359;-40
1929400000;-68.192644236861;-40
1929500000;-68.4739915682604;-40
