Frecuencia_Hz;Potencia_dB_Relativa;SNR_Estimado_dB
1920000000;-76.2209778430311;-7.72538676249393
1920100000;-76.2357708493182;-8.04180859831795
1920200000;-76.1384141498796;-4.70404017675237
1920300000;-76.157369235142;-6.71449626600312
1920400000;-76.3683145419541;-8.13559902067583
1920500000;-68.7210682291848;-40
1920600000;-68.8998280158358;-40
1920700000;-68.1365746478535;-40
1920800000;-76.5497320083483;-0.247703897787834
1920900000;-68.3593781901801;-40
1921000000;-69.1531566516293;-40
1921100000;-69.446282665849;-40
1921200000;-68.0500463355934;-40
1921300000;-68.4534144387131;-40
1921400000;-67.3654009629398;-40
1921500000;-65.4191730877906;-40
1921600000;-68.5331784096937;-40
1921700000;-67.9868220511397;-40
1921800000;-68.883248818898;-40
1921900000;-65.9537108205143;-40
1922000000;-68.3869249446116;-40
1922100000;-67.9498259557413;-40
1922200000;-65.508464077052;-40
1922300000;-67.9787663183949;-40
1922400000;-67.9279784172053;-40
1922500000;-67.6348848208526;-40
1922600000;-68.0827690452535;-40
1922700000;-67.5653563948991;-40
1922800000;-68.5792910649076;-40
1922900000;-68.9671275878848;-40
1923000000;-66.1789753705664;-40
1923100000;-68.6262512543943;-40
1923200000;-67.9310927732668;-40
1923300000;-68.7343445046626;-40
1923400000;-67.898527240071;-40
1923500000;-68.5392200060832;-40
1923600000;-68.8592840174702;-40
1923700000;-68.4589789456648;-40
1923800000;-68.414640685461;-40
1923900000;-67.6118715804164;-40
1924000000;-68.8813249289494;-40
1924100000;-69.4018795868091;-40
1924200000;-68.0185819546419;-40
1924300000;-68.8284852763808;-40
1924400000;-68.1407818808007;-40
1924500000;-67.8378637111413;-40
1924600000;-68.2922424231819;-40
1924700000;-68.372936218627;-40
1924800000;-68.0060784729919;-40
1924900000;-68.4628450750722;-40
1925000000;-68.2787674983728;-40
1925100000;-68.5579975857428;-40
1925200000;-76.3392266917097;-5.57990039752811
1925300000;-68.8194686770562;-40
1925400000;-68.4758474667182;-40
1925500000;-68.5275110428738;-40
1925600000;-68.3955022906902;-40
1925700000;-68.8584563335542;-40
1925800000;-68.729514081169;-40
1925900000;-68.719795780424;-40
1926000000;-67.7835335424214;-40
1926100000;-65.7699947253742;-40
1926200000;-68.3680436690268;-40
1926300000;-68.6926850484052;-40
1926400000;-68.0438484892667;-40
1926500000;-67.539175984714;-40
1926600000;-68.8062225868522;-40
1926700000;-68.1812605179599;-40
1926800000;-68.0079070695389;-40
1926900000;-68.3858965281469;-40
1927000000;-68.3216594805861;-40
1927100000;-68.9928868490222;-40
1927200000;-68.2901036076433;-40
1927300000;-74.2474507060945;-40
1927400000;-68.8514463329008;-40
1927500000;-66.0264244072572;-40
1927600000;-68.7133730331307;-40
1927700000;-68.2783622350299;-40
1927800000;-67.9198597195431;-40
1927900000;-67.5956335960297;-40
1928000000;-68.3864277327339;-40
1928100000;-69.1510606984818;-40
1928200000;-68.0722141633957;-40
1928300000;-68.4107487216571;-40
1928400000;-67.6170600461024;-40
1928500000;-68.0096864775249;-40
1928600000;-68.1460241060624;-40
1928700000;-68.9265318173856;-40
1928800000;-67.6735807367977;-40
1928900000;-67.4955697338885;-40
1929000000;-68.6649508934947;-40
1929100000;-68.3997904929992;-40
1929200000;-68.5325937304183;-40
1929300000;-68.8432293107703;-40
1929400000;-68.6047053671778;-40
1929500000;-68.8138737937845;-40
1929600000;-68.7033683728646;-40
1929700000;-68.7225323742416;-40
1929800000;-68.1825665036186;-40
1929900000;-68.8338725257018;-40
1930000000;-68.5736841244026;-40
1930100000;-68.3940147003757;-40
1930200000;-68.4123927879131;-40
1930300000;-68.3944581946346;-40
1930400000;-68.4026675998662;-40
1930500000;-69.3023109787414;-40
1930600000;-69.2073430316939;-40
1930700000;-67.8595691381369;-40
1930800000;-68.4178157664308;-40
1930900000;-69.4221393596383;-40
1931000000;-68.8569076974937;-40
1931100000;-68.191628247354;-40
1931200000;-68.5744023761634;-40
1931300000;-69.5718811927741;-40
1931400000;-69.012328691588;-40
1931500000;-68.545842276508;-40
1931600000;-68.42095884473;-40
1931700000;-68.2430572039577;-40
1931800000;-67.990712520939;-40
1931900000;-67.9355290677951;-40
1932000000;-67.7919237597063;-40
1932100000;-67.9747998018881;-40
1932200000;-68.1821636203828;-40
1932300000;-69.3867529713929;-40
1932400000;-69.3841041521065;-40
1932500000;-69.2952105636441;-40
1932600000;-68.9014687174618;-40
1932700000;-68.8332761285995;-40
